age	size_t	id	no
0.01555	1.758	8	0
0.04888333333333335	1.758	8	1
0.08888333333333334	1.858	8	2
0.12888333333333335	1.858	8	3
0.16445000000000007	1.908	8	4
0.20888333333333334	1.941	8	5
0.2577833333333333	1.974	8	6
0.29778333333333334	2.024	8	7
0.3466666666666667	2.04	8	8
0.38666666666666666	2.107	8	9
0.44	2.123	8	10
0.49333333333333335	2.239	8	11
0.5377833333333333	2.239	8	12
0.6177833333333334	2.339	8	13
0.6533333333333333	2.389	8	14
0.6977833333333333	2.405	8	15
0.7466666666666667	2.488	8	16
0.8222166666666667	2.571	8	17
0.88	2.6710000000000003	8	18
0.9288833333333335	2.737	8	19
0.9733333333333334	2.737	8	20
1.0266666666666666	2.8360000000000003	8	21
1.0577833333333333	2.87	8	22
1.1066666666666671	2.919	8	23
1.1777833333333334	3.019	8	24
1.2222166666666665	3.102	8	25
1.2755500000000004	3.185	8	26
1.30445	3.218	8	27
