age	size_t	id	no
4830.0	5.303999999999999	10	0
4920.0	6.63	10	1
5140.02	10.276	10	2
5380.02	10.939	10	3
5539.98	12.597000000000001	10	4
5860.02	18.895	10	5
6019.98	22.541	10	6
6580.02	26.519000000000002	10	7
6859.98	32.486	10	8
7180.02	36.796	10	9
7480.02	38.95	10	10
7740.0	42.762	10	11
8100.0	46.077	10	12
8400.0	50.055	10	13
8719.98	52.707	10	14
8959.98	56.022	10	15
9280.02	53.702	10	16
9600.0	53.867	10	17
9919.98	56.188	10	18
10219.98	57.68	10	19
10480.02	57.68	10	20
10759.98	59.17100000000001	10	21
10860.0	58.177	10	22
12120.0	60.331	10	23
12300.0	59.006	10	24
12739.98	59.006	10	25
13140.0	61.657	10	26
13440.0	62.818000000000005	10	27
13969.98	62.652	10	28
