age	size_t	id	no
0.0099	1.964	7.2	0
0.04355	2.107	7.2	1
0.09106666666666666	2.107	7.2	2
0.11878333333333335	2.1790000000000003	7.2	3
0.15441666666666673	2.1790000000000003	7.2	4
0.1742	2.214	7.2	5
0.19400000000000006	2.393	7.2	6
0.2256833333333333	2.393	7.2	7
0.25735	2.393	7.2	8
0.2929833333333333	2.464	7.2	9
0.3207	2.607	7.2	10
0.33258333333333334	2.714	7.2	11
0.37216666666666665	2.643	7.2	12
0.3959333333333333	2.75	7.2	13
0.42365	2.786	7.2	14
0.4434333333333333	2.821	7.2	15
0.4671999999999999	2.857	7.2	16
0.5028333333333334	2.964	7.2	17
0.53055	2.964	7.2	18
0.5701333333333334	3.036	7.2	19
0.5859666666666666	3.143	7.2	20
0.6216	3.143	7.2	21
0.6493166666666667	3.143	7.2	22
0.6691166666666667	3.214	7.2	23
0.6968333333333335	3.286	7.2	24
0.72455	3.393	7.2	25
0.7483000000000001	3.429	7.2	26
0.7681000000000002	3.464	7.2	27
0.7997666666666668	3.464	7.2	28
0.8195666666666667	3.679	7.2	29
0.8472833333333333	3.786	7.2	30
0.8710333333333335	3.786	7.2	31
0.8948	3.893	7.2	32
0.9225166666666668	4.0	7.2	33
0.9482500000000001	3.929	7.2	34
