age	size_t	id	no
0.0	8.667	1	1
0.08333333333333333	8.667	1	2
0.16666666666666666	9.0	1	3
0.25	9.333	1	4
0.3333333333333333	9.333	1	5
0.4166666666666667	9.667	1	6
0.5	10.0	1	7
0.5833333333333334	10.0	1	8
0.6666666666666666	10.333	1	9
0.75	10.667	1	10
0.8333333333333334	10.667	1	11
0.9166666666666666	11.0	1	12
1.0	11.333	1	13
1.0833333333333333	11.667	1	14
1.1666666666666667	12.0	1	15
1.25	12.0	1	16
1.3333333333333333	12.333	1	17
1.4166666666666667	12.667	1	18
1.5	13.0	1	19
1.5833333333333333	13.333	1	20
1.6666666666666667	13.333	1	21
1.75	14.0	1	22
1.8333333333333333	14.333	1	23
1.9166666666666667	14.667	1	24
2.0	15.0	1	25
2.0833333333333335	15.333	1	26
2.1666666666666665	15.667	1	27
2.25	15.667	1	28
2.3333333333333335	16.0	1	29
2.4166666666666665	15.667	1	30
2.5	15.667	1	31
2.5833333333333335	16.0	1	32
2.6666666666666665	16.0	1	33
2.75	16.0	1	34
2.8333333333333335	16.0	1	35
