age	size_t	id	no
0.175	15.262856567377758	11	0
0.35	15.602138893907807	11	1
0.5166666666666667	15.820387078091759	11	2
0.6666666666666666	15.712020881343456	11	3
0.8	15.874010519681995	11	4
0.9833333333333333	15.766382736706044	11	5
1.15	16.391444631059432	11	6
1.2833333333333334	16.341155030188347	11	7
1.4666666666666666	16.239664696850035	11	8
1.6166666666666667	16.290567934861482	11	9
1.7666666666666666	16.391444631059432	11	10
1.95	16.589541430168534	11	11
2.0833333333333335	16.540464571671095	11	12
2.25	16.83070464022778	11	13
2.4166666666666665	16.78303012642148	11	14
2.5833333333333335	17.338234150046993	11	15
2.7333333333333334	17.111265560845478	11	16
2.9	17.559411076735294	11	17
3.066666666666667	17.646331572547304	11	18
3.2	17.559411076735294	11	19
3.35	17.646331572547304	11	20
3.533333333333333	17.902120758035363	11	21
3.683333333333333	18.35293404142737	11	22
3.7333333333333334	18.068656404691552	11	23
3.8	20.348979999999997	11	24
3.841666666666667	24.73562	11	25
