age	size_t	id	no
2.3940000000000006	1.349	6	0
2.5620000000000003	1.47	6	1
2.68	1.5419999999999998	6	2
2.759	1.59	6	3
2.857	1.663	6	4
2.975	1.6869999999999998	6	5
3.094	1.783	6	6
3.251000000000001	1.88	6	7
3.35	1.928	6	8
3.488	1.976	6	9
3.6060000000000003	2.072	6	10
3.7039999999999997	2.12	6	11
3.862	2.169	6	12
4.0	2.241	6	13
4.099	2.337	6	14
4.2170000000000005	2.386	6	15
4.335000000000001	2.482	6	16
4.452999999999999	2.5540000000000003	6	17
4.591	2.651	6	18
4.690000000000001	2.7710000000000004	6	19
4.808000000000002	2.867	6	20
4.946000000000001	2.964	6	21
5.0440000000000005	3.084	6	22
5.143	3.205	6	23
5.232	3.349	6	24
