age	size_t	id	no
20.436	12.643447169484745	12	0
22.73699999999999	16.49480090836654	12	1
24.631999999999998	18.54577019283512	12	2
26.796999999999993	19.17732965890717	12	3
28.421000000000003	19.501111699925982	12	4
30.857	19.8303348453892	12	5
32.751999999999995	21.20387277754859	12	6
34.917	21.20387277754859	12	7
37.083	21.561879931272742	12	8
38.707	22.672544743467927	12	9
40.872	24.652251216362792	12	10
42.766999999999996	26.359766783956967	12	11
44.931999999999995	27.257377624537067	12	12
46.961999999999996	27.257377624537067	12	13
