age	size_t	id	no
0.005933333333333335	3.839	7.3	0
0.03165	3.982	7.3	1
0.059333333333333335	4.126	7.3	2
0.08306666666666668	4.305	7.3	3
0.13053333333333336	4.341	7.3	4
0.1701	4.771	7.3	5
0.20173333333333335	4.879	7.3	6
0.2333833333333334	5.022	7.3	7
0.27295	5.309	7.3	8
0.2966833333333333	5.6320000000000014	7.3	9
0.3243666666666667	5.6320000000000014	7.3	10
0.3560166666666667	5.955	7.3	11
0.3837	6.242000000000001	7.3	12
0.4193	6.4220000000000015	7.3	13
0.4390833333333332	6.6370000000000005	7.3	14
0.47863333333333347	6.96	7.3	15
0.5023666666666666	7.175	7.3	16
0.5142333333333333	7.067	7.3	17
0.5280833333333333	6.888	7.3	18
